uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,tagID,individualID,tagStatus,identificationHistoryID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,morphospeciesID,growthForm,shape,plantStatus,leafNumber,meanLeafLength,meanPetioleLength,meanBladeLength,basalStemDiameter,meanBasalDiameter,stemDiameter,stemLength,measurementHeight,maxCrownDiameter,ninetyCrownDiameter,height,baseCrownHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,canopyPosition,oldPadCount,newPadCount,stemCount,branchCount,meanBranchLength,remarks,measuredBy,recordedBy,dataEntryRecordID
"673f6ee8-29ca-4f8a-bc1c-553b00fa907f","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39168",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,42.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"2ebc68b1-56fc-45f5-99e8-ae99f75b17eb","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39165",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,42.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"24512922-7a67-4267-8a75-c6cc5b823268","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39206",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,50.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"ddd1fc2c-0d79-4c47-b95d-51567e57d217","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39180",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,56.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"a0132e9f-cbfb-43a6-82bf-adf88efbb1a2","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39200",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,34.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"4433a5ae-93e9-4ad6-bc5e-5796c102b3d9","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39196",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,45.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"a2543810-2aff-4be8-b160-06a20f9f0844","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39181",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,43.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"eb82af00-1f9f-4401-841b-64f0b5b2e74a","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39169",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,42.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"2099ba92-8756-4364-a5e2-80f51e5cdceb","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39204",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,37.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"451b5a25-2d2c-47a9-a426-4ff2005b49d5","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39201",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,60.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"886ec6f8-c995-416d-90b4-fb6d63665043","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39187",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,49.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"f505c098-c2a7-42f5-bfe9-8ad4ce28a9c6","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39163",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,35.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"6a820da9-26a8-4cd4-8898-4faed91a00e1","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39202",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,56.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"c4430387-543b-4d1a-a12a-3c9188d0e6ee","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39205",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,53.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"ee0a91ba-7e78-4ff2-bbdb-7518deda7cb7","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39175",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,38.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"5baab5fe-4072-4fb9-b4e7-dda9164364ed","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39172",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,40.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"6f261698-ca68-4ce7-b464-6200ee02596d","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39182",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,50.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"43245238-57dd-468e-b363-ec5a8383db7e","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39164",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,41.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"47b2bbc4-b57f-4474-8255-9aab00496e65","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39203",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,62.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"80e6e6ba-7878-4b4e-87cd-784ccba1e493","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39194",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,37.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"a07102b3-a151-42c3-aa67-be75ef743f20","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39176",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,62.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
"d1234420-daec-4e9f-afde-fb64b5c1e241","BART_039.basePlot.vst","2018-08-20","vst_BART_2018","D01","BART","BART_039","41_unknown_1",,"TEMP.PLA.NW.BART.2018.39183",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species",,,,"fern",,"Live",1,49.0,,,,,,,,,,,,,,,,,,,,,"scook@battelleecology.org","jwebber@field-ops.org",
